date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:49	274461/274461	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/js/scripts.min.js?ver=4.27.5	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/themes/Divi/js/scripts.min64f2.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:49	3349/3349	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids.js?ver=4.27.5	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids64f2.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:49	586/586	---M--	200	added ('OK')	text/javascript	date:Fri,%2006%20Jun%202025%2021:55:50%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/scripts/frontend-bundle.min.js?ver=1.0.0	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/scripts/frontend-bundle.min8a54.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:50	7577/7577	---M--	200	added ('OK')	text/javascript	date:Mon,%2001%20Dec%202025%2009:59:55%20GMT	https://staticdevelopers.com/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=14.16	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/wp-statistics/assets/js/trackerdd32.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:50	1343/1343	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/core/admin/js/common.js?ver=4.27.5	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/themes/Divi/core/admin/js/common64f2.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:51	3812/3812	---MCZ	200	added ('OK')	application/javascript	etag:W/7134-1748959718389.9258	https://stats.wp.com/e-202605.js	C:/My%20Web%20Sites/bluelineacademy/stats.wp.com/e-202605.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:52	61910/61910	---M--	200	added ('OK')	text/javascript	date:Mon,%2016%20Dec%202024%2008:13:14%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider-fluiddynamics-addon/public/js/fluiddynamics.min.js?ver=6.7.34	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider-fluiddynamics-addon/public/js/fluiddynamics.mine00b.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:52	15284/15284	---M--	200	added ('OK')	text/javascript	date:Mon,%2016%20Dec%202024%2008:37:38%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider-mousetrap-addon/public/js/mousetrap.min.js?ver=6.7.34	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider-mousetrap-addon/public/js/mousetrap.mine00b.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:53	61910/61910	---M--	200	added ('OK')	text/javascript	date:Mon,%2016%20Dec%202024%2008:13:14%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider-fluiddynamics-addon/public/js/fluiddynamics.min.js	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider-fluiddynamics-addon/public/js/fluiddynamics.min.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:53	15284/15284	---M--	200	added ('OK')	text/javascript	date:Mon,%2016%20Dec%202024%2008:37:38%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider-mousetrap-addon/public/js/mousetrap.min.js	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider-mousetrap-addon/public/js/mousetrap.min.js	(from https://staticdevelopers.com/static-fivepd-2/)
